central_action_size,episode,episode_reward,final_score,has_central_action,is_all_keep,is_hallucinated,is_recovered,is_valid_action,mean_queue,mean_wait,raw_completion,reward_breakdown_central_reward,reward_breakdown_coordination_bonus,reward_breakdown_fairness_reward,reward_breakdown_queue_reward,reward_breakdown_stability_bonus,reward_breakdown_switch_penalty_reward,reward_breakdown_throughput_reward,reward_breakdown_total,reward_breakdown_wait_reward,step_count,step_latency_ms,task_id,throughput,throughput_efficiency
2,37,-1.6730699679990584,0.390395,1.0,0.0,0.0,0.0,1.0,0.0,113.731,,-0.026,-0.04,0.0258,0.1572,0.0378,-0.04,0.0385,-0.0667,-0.22,25,171.36573791503906,hard_multi,20.633,0.2004
2,38,1.2478056758903595,0.46339,1.0,0.0,0.0,0.0,1.0,0.0,91.026,,0.0518,-0.016,0.0107,0.1741,0.0352,-0.03,0.1124,0.1181,-0.22,25,164.8712158203125,hard_multi,27.615,0.3134
2,39,-1.6694517598781509,0.40393,1.0,0.0,0.0,0.0,1.0,0.0,101.905,,-0.0504,-0.02,0.0179,0.151,0.0188,-0.07,0.0499,-0.1228,-0.22,25,167.66738891601562,hard_multi,21.709,0.1923
2,40,0.4642175234795004,0.49144000000000004,1.0,0.0,0.0,0.0,1.0,0.0,92.161,,0.0209,0.004,0.0114,0.1645,0.0028,-0.04,-0.0233,-0.0796,-0.22,25,165.12060165405273,hard_multi,14.802,0.2593
0,41,-1.3961380872529623,0.47521,0.0,0.0,0.0,1.0,0.0,0.0,101.843,,0.0185,0.016,0.0179,0.162,0.0395,-0.06,0.1464,0.1203,-0.22,25,166.3069725036621,hard_multi,30.825,0.2056
0,42,-0.9652896382333602,0.417525,0.0,0.0,0.0,1.0,0.0,0.0,95.233,,-0.094,0.016,0.0135,0.1668,0.0251,-0.05,0.1279,-0.0148,-0.22,25,170.96590995788574,hard_multi,29.075,0.22
0,43,-1.9470692350314556,0.431265,0.0,0.0,0.0,1.0,0.0,0.0,97.437,,0.024,-0.04,0.015,0.1602,-0.001,-0.04,0.0688,-0.033,-0.22,25,168.86091232299805,hard_multi,23.495,0.2354
2,44,-1.2803070978509914,0.36880500000000005,1.0,0.0,0.0,0.0,1.0,0.0,94.892,,-0.1176,-0.016,0.0133,0.1683,0.0362,-0.03,0.0039,-0.162,-0.22,25,166.5937900543213,hard_multi,17.365,0.2264
2,45,0.5167629883187723,0.47965,1.0,0.0,0.0,0.0,1.0,0.0,96.618,,0.1265,-0.016,0.0144,0.1677,-0.0,-0.03,0.0183,0.061,-0.22,25,168.11561584472656,hard_multi,18.731,0.2277
2,46,-0.8541360313204901,0.40001000000000003,1.0,0.0,0.0,0.0,1.0,0.0,101.19,,0.0568,-0.02,0.0175,0.1553,-0.0175,-0.07,0.18,0.082,-0.22,25,165.58051109313965,hard_multi,35.453,0.2351
0,47,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""PHASE_0"",""SE"":"" SWITCH""}{""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.2}}",,,,,,,,,,0,,hard_multi,,
2,48,-0.4164195896142622,0.4019,1.0,0.0,0.0,0.0,1.0,0.0,93.51,,-0.0815,-0.016,0.0123,0.1736,0.0256,-0.02,0.1072,-0.0187,-0.22,25,167.62542724609375,hard_multi,27.121,0.2812
2,49,0.8543685629157401,0.50104,1.0,0.0,0.0,0.0,1.0,0.0,74.658,,0.1467,-0.02,-0.0002,0.1647,-0.04,-0.04,0.18,0.1712,-0.22,25,173.05469512939453,hard_multi,49.531,0.3183
1,50,-0.02815645381507481,0.44811999999999996,1.0,0.0,0.0,1.0,0.0,0.0,94.299,,-0.0658,0.016,0.0129,0.1722,0.036,-0.04,0.1528,0.064,-0.22,25,169.31462287902832,hard_multi,31.429,0.2658
2,51,0.5033457585114492,0.385585,1.0,0.0,0.0,0.0,1.0,0.0,98.556,,0.0448,-0.04,0.0157,0.1601,0.0342,-0.05,-0.0305,-0.0857,-0.22,25,170.96853256225586,hard_multi,14.124,0.1934
1,52,0.05862963410221678,0.44977999999999996,1.0,0.0,0.0,1.0,0.0,0.0,94.141,,-0.0666,0.016,0.0128,0.1725,0.0368,-0.04,0.1574,0.0689,-0.22,25,166.32533073425293,hard_multi,31.862,0.2709
2,53,-0.08402180785230276,0.40399,1.0,0.0,0.0,0.0,1.0,0.0,87.604,,0.0099,-0.02,0.0084,0.1669,0.0136,-0.05,0.1348,0.0436,-0.22,25,169.2979335784912,hard_multi,29.73,0.2784
2,54,-0.6838582823233144,0.41929,1.0,0.0,0.0,0.0,1.0,0.0,93.425,,-0.0502,-0.016,0.0123,0.1578,0.0329,-0.05,-0.0073,-0.1405,-0.22,25,169.5241928100586,hard_multi,16.309,0.2326
2,55,0.41051386235176934,0.42391,1.0,0.0,0.0,0.0,1.0,0.0,94.138,,-0.0725,0.02,0.0128,0.1709,0.018,-0.04,0.18,0.069,-0.22,25,167.78063774108887,hard_multi,40.844,0.2832
0,56,-0.5275850222508264,0.38377,0.0,0.0,0.0,1.0,0.0,0.0,98.625,,0.0442,-0.04,0.0157,0.1599,0.0339,-0.05,-0.0299,-0.0861,-0.22,25,168.00332069396973,hard_multi,14.175,0.1879
2,57,-3.0,,1.0,1.0,0.0,1.0,0.0,,,"{""local_actions"":{""NW"":0.2,""NE"":0.1,""SW"":-0.3,""SE"":0.8},""central_action"":{""queue_urgency_weight"":0.7,""corridor_priority"":0.9}}",,,,,,,,,,0,,hard_multi,,
2,58,-0.5087489816865848,0.46747,1.0,0.0,0.0,0.0,1.0,0.0,98.203,,0.0303,-0.04,0.0155,0.1621,0.0288,-0.03,0.0446,-0.0088,-0.22,25,167.62828826904297,hard_multi,21.208,0.2479
2,59,-1.8845882972096186,0.38459499999999996,1.0,0.0,0.0,0.0,1.0,0.0,100.231,,-0.0761,-0.04,0.0168,0.1627,0.0366,-0.03,0.0269,-0.1231,-0.22,25,168.19477081298828,hard_multi,19.541,0.2073
2,60,-1.0322440924494962,0.43300500000000003,1.0,0.0,0.0,0.0,1.0,0.0,97.15,,0.0246,-0.04,0.0148,0.1604,0.0014,-0.04,0.0709,-0.028,-0.22,25,167.07921028137207,hard_multi,23.693,0.2394
2,61,2.916553366049451,0.44097000000000003,1.0,0.0,0.0,0.0,1.0,0.0,96.581,,0.0964,-0.04,0.0144,0.1703,0.02,-0.03,0.0501,0.0612,-0.22,25,165.83800315856934,hard_multi,21.729,0.3201
2,62,-1.5491747253225596,0.43043499999999996,1.0,0.0,0.0,0.0,1.0,0.0,99.212,,-0.0034,-0.04,0.0161,0.1564,-0.0013,-0.05,0.0297,-0.1126,-0.22,25,209.15627479553223,hard_multi,19.804,0.2092
2,63,-2.58688399797635,0.40698999999999996,1.0,0.0,0.0,0.0,1.0,0.0,101.631,,-0.0219,-0.02,0.0178,0.1483,0.0068,-0.07,-0.0542,-0.2132,-0.22,25,165.21883010864258,hard_multi,11.885,0.1634
2,64,1.2982441406307887,0.48436,1.0,0.0,0.0,0.0,1.0,0.0,96.604,,0.1279,-0.016,0.0144,0.1668,0.0264,-0.03,0.0971,0.1665,-0.22,25,176.2552261352539,hard_multi,26.171,0.2794
1,65,0.419711431303752,0.49042,1.0,0.0,0.0,0.0,1.0,0.0,92.285,,0.0217,0.004,0.0115,0.1644,0.0001,-0.04,-0.0245,-0.0828,-0.22,25,169.48866844177246,hard_multi,14.688,0.2561
2,66,-0.49763540709134185,0.404605,1.0,0.0,0.0,1.0,0.0,0.0,82.492,,-0.1184,-0.016,0.005,0.1673,0.0328,-0.04,0.0882,-0.1011,-0.22,25,169.20232772827148,hard_multi,25.334,0.2632
0,67,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""query_sum"":0.3}""""corridor_priority"":0.6.""balance_penalty"":0.1},""emergency_boost"":0.2})",,,,,,,,,,0,,hard_multi,,
2,68,0.24100921761233757,0.443695,1.0,0.0,0.0,0.0,1.0,0.0,91.222,,0.04,-0.016,0.0108,0.1716,0.0374,-0.03,0.0621,0.0558,-0.22,25,168.1511402130127,hard_multi,22.861,0.2393
0,69,-1.7480998222829651,0.41352,0.0,0.0,0.0,0.0,1.0,0.0,113.759,,-0.0298,-0.016,0.0258,0.1578,0.0384,-0.04,-0.0435,-0.1273,-0.22,25,167.33741760253906,hard_multi,12.888,0.1668
2,70,0.7954372121364296,0.45902499999999996,1.0,0.0,0.0,0.0,1.0,0.0,100.111,,-0.016,0.004,0.0167,0.1555,0.0048,-0.07,-0.0585,-0.1834,-0.22,25,169.04854774475098,hard_multi,11.472,0.2519
2,71,0.47066053658118057,0.49136,1.0,0.0,0.0,0.0,1.0,0.0,91.979,,0.0194,0.004,0.0113,0.1647,0.0008,-0.04,-0.0219,-0.0816,-0.22,25,167.8307056427002,hard_multi,14.936,0.2616
3,72,0.4825651746448222,0.404645,1.0,0.0,0.0,0.0,1.0,0.0,76.875,,-0.1151,0.02,0.0013,0.1694,0.0286,-0.03,0.18,0.0341,-0.22,25,170.6221103668213,hard_multi,37.479,0.2772
2,73,0.08367679014979312,0.450495,1.0,0.0,0.0,1.0,0.0,0.0,94.085,,-0.0665,0.016,0.0127,0.1727,0.0373,-0.04,0.1586,0.0709,-0.22,25,181.47778511047363,hard_multi,31.982,0.273
2,74,0.06791191064216161,0.421585,1.0,0.0,0.0,0.0,1.0,0.0,94.962,,-0.0914,0.016,0.0133,0.1679,0.0249,-0.05,0.1315,-0.0077,-0.22,25,170.7611083984375,hard_multi,29.423,0.2266
2,75,-2.789057185193095,0.38327,1.0,0.0,0.0,0.0,1.0,0.0,103.633,,-0.041,-0.016,0.0191,0.1524,0.0284,-0.06,-0.0035,-0.1406,-0.22,25,167.32430458068848,hard_multi,16.666,0.1552
2,76,-0.4085489807690341,0.480355,1.0,0.0,0.0,0.0,1.0,0.0,101.521,,0.0236,0.016,0.0177,0.1629,0.0397,-0.06,0.1494,0.1293,-0.22,25,169.24190521240234,hard_multi,31.114,0.2092
2,77,0.5368805407111197,0.40538,1.0,0.0,0.0,0.0,1.0,0.0,75.937,,-0.1184,0.02,0.0006,0.1701,0.028,-0.03,0.18,0.0304,-0.22,25,170.43089866638184,hard_multi,38.721,0.2864
2,78,0.9200117501978698,0.461355,1.0,0.0,0.0,0.0,1.0,0.0,91.095,,0.0494,-0.016,0.0107,0.1734,0.0086,-0.02,0.1478,0.134,-0.22,25,172.1200942993164,hard_multi,30.961,0.2979
1,79,-4.610236972808169,0.400215,1.0,0.0,0.0,1.0,0.0,0.0,117.402,,0.015,-0.02,0.0283,0.1408,0.023,-0.07,-0.0359,-0.1388,-0.22,25,166.93735122680664,hard_multi,13.609,0.1003
2,80,0.9219806692773943,0.46125,1.0,0.0,0.0,0.0,1.0,0.0,91.097,,0.0494,-0.016,0.0107,0.1734,0.0097,-0.02,0.1478,0.1351,-0.22,25,170.9589958190918,hard_multi,30.961,0.2973
1,81,-0.6922905083993995,0.44017500000000004,1.0,0.0,0.0,1.0,0.0,0.0,95.388,,-0.0507,0.016,0.0136,0.1579,0.003,-0.05,-0.0169,-0.1472,-0.22,25,165.29130935668945,hard_multi,15.401,0.264
0,82,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":"" SWITCH"",""SW"":""PHASE_1"",""SE"":""PHASE_2""},""central_action"":{""queue_urgency_weight"":0.4,{}}}",,,,,,,,,,0,,hard_multi,,
2,83,0.5033457585114492,0.385585,1.0,0.0,0.0,0.0,1.0,0.0,98.556,,0.0448,-0.04,0.0157,0.1601,0.0342,-0.05,-0.0305,-0.0857,-0.22,25,169.33870315551758,hard_multi,14.124,0.1934
2,84,0.42087276667424844,0.388505,1.0,0.0,0.0,0.0,1.0,0.0,98.311,,0.045,-0.04,0.0155,0.16,0.036,-0.05,-0.0312,-0.0847,-0.22,25,166.5821075439453,hard_multi,14.055,0.192
2,85,-3.0,,1.0,1.0,0.0,1.0,0.0,,,"{""local_actions"":{""NW"":0.6,""NE"":-0.2,""SW"":0.8,""SE"":0.5},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",,,,,,,,,,0,,hard_multi,,
2,86,0.5033457585114492,0.385585,1.0,0.0,0.0,0.0,1.0,0.0,98.556,,0.0448,-0.04,0.0157,0.1601,0.0342,-0.05,-0.0305,-0.0857,-0.22,25,167.97876358032227,hard_multi,14.124,0.1934
2,87,0.5700117844219199,0.385325,1.0,0.0,0.0,0.0,1.0,0.0,98.439,,0.0454,-0.04,0.0156,0.1602,0.0345,-0.04,-0.0299,-0.0741,-0.22,25,170.318603515625,hard_multi,14.181,0.1944
2,88,-0.667442569747036,0.40751999999999994,1.0,0.0,0.0,0.0,1.0,0.0,100.276,,0.0711,-0.02,0.0169,0.1564,-0.0304,-0.06,0.18,0.0939,-0.22,25,170.4580783843994,hard_multi,38.04,0.2503
2,89,-1.2865491735173316,0.36943500000000007,1.0,0.0,0.0,0.0,1.0,0.0,94.777,,-0.1176,-0.016,0.0132,0.1683,0.0358,-0.03,0.0062,-0.16,-0.22,25,168.9589023590088,hard_multi,17.589,0.2304
2,90,-3.0,,1.0,1.0,0.0,1.0,0.0,,,"{""local_actions"":{""NW"":-0.0,""NE"":-0.0,""SW"":-0.0,""SE"":-0.0},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.2}}",,,,,,,,,,0,,hard_multi,,
2,91,0.4416555367731311,0.424555,1.0,0.0,0.0,0.0,1.0,0.0,94.166,,-0.072,0.02,0.0128,0.1709,0.0212,-0.04,0.18,0.0728,-0.22,25,168.44916343688965,hard_multi,40.932,0.2831
2,92,0.571375488970718,0.3852749999999999,1.0,0.0,0.0,0.0,1.0,0.0,98.417,,0.0457,-0.04,0.0156,0.1603,0.0345,-0.04,-0.0298,-0.0738,-0.22,25,170.8362102508545,hard_multi,14.187,0.1945
0,93,-1.0875674005002534,0.401925,0.0,0.0,0.0,1.0,0.0,0.0,87.576,,0.0099,-0.02,0.0084,0.1669,0.0119,-0.05,0.1338,0.0408,-0.22,25,166.75400733947754,hard_multi,29.633,0.2703
2,94,0.49485770340546265,0.385685,1.0,0.0,0.0,0.0,1.0,0.0,98.587,,0.0447,-0.04,0.0157,0.1601,0.0341,-0.05,-0.0306,-0.086,-0.22,25,171.07200622558594,hard_multi,14.109,0.1929
2,95,-3.0,,1.0,1.0,0.0,1.0,0.0,,,"{""local_actions"":{""NW"":-0.5,""NE"":0.2,""SW"":-0.1,""SE"":0.8},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",,,,,,,,,,0,,hard_multi,,
0,96,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""PHASE_0"",""SE"":""PHASE_3""},""central_action"":{""queue_urgency_weight"":0.5"",""corridor_priority"":0.3}}",,,,,,,,,,0,,hard_multi,,
0,97,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_1"",""SW"":""KEEP"",""SE"":""PHASE_0""},central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",,,,,,,,,,0,,hard_multi,,
2,98,0.9866934879364954,0.4623499999999999,1.0,0.0,0.0,0.0,1.0,0.0,68.653,,0.0487,-0.02,-0.0042,0.1732,-0.04,-0.03,0.18,0.0877,-0.22,25,172.73473739624023,hard_multi,53.768,0.3411
2,99,2.541472805401391,0.435155,1.0,0.0,0.0,0.0,1.0,0.0,97.693,,0.0582,0.004,0.0151,0.1641,0.0394,-0.03,0.0842,0.115,-0.22,25,166.92614555358887,hard_multi,24.95,0.2508
2,100,0.037185066280112325,0.420985,1.0,0.0,0.0,0.0,1.0,0.0,95.068,,-0.0913,0.016,0.0134,0.1677,0.0258,-0.05,0.1296,-0.0088,-0.22,25,174.07941818237305,hard_multi,29.243,0.2244
0,101,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""KEEP"",""SW"":""PHASE_0"",""SE"":""PHASE_1""},""central_action"":{""weight"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.2,""balance_penalty"":0.1},priority"":{""corridor_priority"":0.5}}}",,,,,,,,,,0,,hard_multi,,
2,102,-0.6187354384066918,0.44695999999999997,1.0,0.0,0.0,0.0,1.0,0.0,79.123,,-0.0161,-0.04,0.0027,0.1558,0.0011,-0.07,-0.0268,-0.2132,-0.22,25,167.50001907348633,hard_multi,14.47,0.2519
2,103,0.17132508926936538,0.41183499999999995,1.0,0.0,0.0,0.0,1.0,0.0,114.354,,0.1048,-0.016,0.0262,0.1524,0.0245,-0.06,-0.0779,-0.0659,-0.22,25,168.2729721069336,hard_multi,9.646,0.1432
2,104,0.5033457585114492,0.385585,1.0,0.0,0.0,0.0,1.0,0.0,98.556,,0.0448,-0.04,0.0157,0.1601,0.0342,-0.05,-0.0305,-0.0857,-0.22,25,166.45169258117676,hard_multi,14.124,0.1934
2,105,0.49485770340546265,0.385685,1.0,0.0,0.0,0.0,1.0,0.0,98.587,,0.0447,-0.04,0.0157,0.1601,0.0341,-0.05,-0.0306,-0.086,-0.22,25,165.13371467590332,hard_multi,14.109,0.1929
2,106,-1.4797304895450418,0.372335,1.0,0.0,0.0,1.0,0.0,0.0,95.088,,-0.1192,-0.016,0.0134,0.1668,0.0208,-0.04,0.0915,-0.1028,-0.22,25,165.59433937072754,hard_multi,25.638,0.2688
2,107,0.18639611231873465,0.46265999999999996,1.0,0.0,0.0,0.0,1.0,0.0,75.954,,0.1021,-0.02,0.0006,0.1601,-0.04,-0.06,0.18,0.1028,-0.22,25,170.97711563110352,hard_multi,50.886,0.2775
2,108,0.5033457585114492,0.385585,1.0,0.0,0.0,0.0,1.0,0.0,98.556,,0.0448,-0.04,0.0157,0.1601,0.0342,-0.05,-0.0305,-0.0857,-0.22,25,166.3801670074463,hard_multi,14.124,0.1934
0,109,-6.0,,0.0,0.0,1.0,0.0,0.0,,,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.3，“emergency_boost”:0.2}}",,,,,,,,,,0,,hard_multi,,
