episode,task_id,episode_reward,mean_queue,mean_wait,final_score,throughput,throughput_efficiency,step_count,latency_ms,is_hallucinated,is_all_keep,is_valid_action,has_central_action,raw_completion,reward_breakdown.queue_reward,reward_breakdown.wait_reward,reward_breakdown.throughput_reward,reward_breakdown.switch_penalty_reward,reward_breakdown.central_reward,reward_breakdown.stability_bonus,reward_breakdown.coordination_bonus,reward_breakdown.fairness_reward,reward_breakdown.total,action.local_actions.NW,action.local_actions.NE,action.local_actions.SW,action.local_actions.SE,action.central_action.balance_penalty,action.central_action.switch_penalty,action.central_action.queue_urgency_weight,action.central_action.corridor_priority,action.central_action.emergency_boost
16,medium_dynamic,3.072139591609303,,96.384,0.504835,13.527,0.4391,30,25.850296020507812,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.135,-0.22,-0.0368,-0.02,0.0655,0.0376,0.004,0.0143,-0.0205,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
17,medium_dynamic,0.38846709233780563,,94.064,0.44244999999999995,14.008,0.3939,30,28.435945510864258,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0371,0.004,0.0127,-0.1133,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.2,0.5,
18,medium_dynamic,0.4603534438151444,,94.072,0.45083,14.008,0.3921,30,24.21712875366211,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""PHASE_0""},""central_action"":{""emergency_boost"":0.5,""queue_urgency_weight"":0.3}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0393,0.004,0.0127,-0.1111,PHASE_2,PHASE_3,SWITCH,PHASE_0,,,0.3,,0.5
19,medium_dynamic,0.38846709233780563,,94.064,0.44244999999999995,14.008,0.3939,30,25.464534759521484,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0371,0.004,0.0127,-0.1133,PHASE_2,PHASE_3,SWITCH,PHASE_0,,,0.2,0.5,
20,medium_dynamic,3.0629528222453333,,96.32,0.504645,13.527,0.4402,30,24.520158767700195,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1351,-0.22,-0.0368,-0.02,0.0647,0.0377,0.004,0.0142,-0.0212,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
21,medium_dynamic,-1.1453452250819915,,103.944,0.47780000000000006,8.9,0.3217,30,23.520708084106445,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""PHASE_1"",""SW"":""SWITCH"",""SE"":""PHASE_2""},""central_action"":{""switch_penalty"":0.3,""queue_urgency_weight"":0.3,""emergency_boost"":0.2,""corridor_priority"":0.4}}",0.1249,-0.22,-0.0858,-0.06,0.0989,0.0256,0.004,0.0193,-0.093,PHASE_0,PHASE_1,SWITCH,PHASE_2,,0.3,0.3,0.4,0.2
22,medium_dynamic,-1.4382527238047236,,103.14,0.415355,10.092,0.3152,30,23.273229598999023,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""PHASE_1"",""SW"":""PHASE_2"",""SE"":""SWITCH""},""central_action"":{""balance_penalty"":0.4,""switch_penalty"":0.3}}}",0.1181,-0.22,-0.0731,-0.05,0.0379,0.0361,0.004,0.0188,-0.1283,PHASE_0,PHASE_1,PHASE_2,SWITCH,0.4,0.3,,,
23,medium_dynamic,1.996982198840065,,89.131,0.47414,13.522,0.5243,30,21.703481674194336,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1435,-0.22,-0.0368,-0.02,-0.04,0.0325,-0.02,0.0094,-0.1514,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
24,medium_dynamic,-1.3623657004699397,,104.277,0.39520500000000003,15.448,0.3363,30,26.49378776550293,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_0"",""NE"":""SWITCH"",""SW"":""PHASE_2"",""SE"":""PHASE_3""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1251,-0.22,-0.0164,-0.04,0.0266,0.039,-0.04,0.0195,-0.1062,PHASE_0,SWITCH,PHASE_2,PHASE_3,,,0.4,0.3,
25,medium_dynamic,3.0629528222453333,,96.32,0.504645,13.527,0.4402,30,25.121212005615234,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1351,-0.22,-0.0368,-0.02,0.0647,0.0377,0.004,0.0142,-0.0212,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
26,medium_dynamic,2.8529421761380824,,104.198,0.49106999999999995,15.085,0.5049,30,26.1075496673584,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.3,""switch_penalty"":0.2}}",0.1191,-0.22,-0.0203,-0.04,0.0373,0.0388,-0.02,0.0195,-0.0857,PHASE_3,SWITCH,KEEP,PHASE_0,0.3,0.2,,,
27,medium_dynamic,1.8149786304787907,,98.463,0.47213499999999997,12.385,0.37,30,26.07560157775879,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""balance_penalty"":0.4,""switch_penalty"":0.3}}",0.138,-0.22,-0.0489,-0.02,0.028,0.0337,0.016,0.0156,-0.0575,PHASE_1,PHASE_3,SWITCH,KEEP,0.4,0.3,,,
28,medium_dynamic,2.009150231049607,,89.187,0.47391999999999995,13.522,0.5233,30,23.081541061401367,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1434,-0.22,-0.0368,-0.02,-0.04,0.0325,-0.02,0.0095,-0.1515,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
29,medium_dynamic,2.04738982746085,,89.347,0.47377,13.522,0.5211,30,29.453277587890625,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1432,-0.22,-0.0368,-0.02,-0.0377,0.0337,-0.02,0.0096,-0.148,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.2,0.5,
30,medium_dynamic,0.38846709233780563,,94.064,0.44244999999999995,14.008,0.3939,30,25.005578994750977,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0371,0.004,0.0127,-0.1133,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.2,0.5,
31,medium_dynamic,3.072139591609303,,96.384,0.504835,13.527,0.4391,30,25.246858596801758,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.135,-0.22,-0.0368,-0.02,0.0655,0.0376,0.004,0.0143,-0.0205,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
32,medium_dynamic,3.1090551288679373,,96.549,0.50578,13.527,0.4366,30,24.687528610229492,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1348,-0.22,-0.0368,-0.02,0.0677,0.038,0.004,0.0144,-0.0179,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.2,0.5,
33,medium_dynamic,3.0629528222453333,,96.32,0.504645,13.527,0.4402,30,26.561498641967773,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1351,-0.22,-0.0368,-0.02,0.0647,0.0377,0.004,0.0142,-0.0212,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
34,medium_dynamic,2.009150231049607,,89.187,0.47391999999999995,13.522,0.5233,30,21.717309951782227,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1434,-0.22,-0.0368,-0.02,-0.04,0.0325,-0.02,0.0095,-0.1515,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
35,medium_dynamic,2.8529421761380824,,104.198,0.49106999999999995,15.085,0.5049,30,24.49631690979004,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.3,""switch_penalty"":0.2}}",0.1191,-0.22,-0.0203,-0.04,0.0373,0.0388,-0.02,0.0195,-0.0857,PHASE_3,SWITCH,KEEP,PHASE_0,0.3,0.2,,,
36,medium_dynamic,3.072139591609303,,96.384,0.504835,13.527,0.4391,30,27.261734008789062,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.135,-0.22,-0.0368,-0.02,0.0655,0.0376,0.004,0.0143,-0.0205,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
37,medium_dynamic,3.072139591609303,,96.384,0.504835,13.527,0.4391,30,27.60767936706543,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.135,-0.22,-0.0368,-0.02,0.0655,0.0376,0.004,0.0143,-0.0205,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
38,medium_dynamic,-0.8758006581572152,,98.046,0.406305,14.73,0.418,30,23.80204200744629,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""PHASE_0"",""SW"":""KEEP"",""SE"":""PHASE_1""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1322,-0.22,-0.024,-0.04,-0.04,0.0316,-0.04,0.0154,-0.1849,SWITCH,PHASE_0,KEEP,PHASE_1,,,0.4,0.3,
39,medium_dynamic,0.3488367533809713,,94.047,0.44156000000000006,14.008,0.3927,30,26.462793350219727,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1446,-0.22,-0.0317,-0.02,-0.04,0.0369,0.004,0.0127,-0.1135,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.4,0.3,
40,hard_multi,1.5434418467539768,,98.465,0.49396999999999996,56.912,0.2869,30,23.302555084228516,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0169,-0.0337,0.004,0.0156,0.0219,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.4,0.3,
41,hard_multi,1.108501209302135,,97.332,0.47996500000000003,43.726,0.295,30,24.228811264038086,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.04,0.0023,0.0139,-0.02,0.0149,0.0839,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
42,hard_multi,-1.9652391761622194,,100.606,0.40068499999999996,32.815,0.2008,30,25.777339935302734,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""KEEP"",""SW"":""PHASE_0"",""SE"":""PHASE_1""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.149,-0.22,0.1675,-0.05,-0.0261,0.0095,-0.04,0.0171,0.0069,SWITCH,KEEP,PHASE_0,PHASE_1,,,0.4,0.3,
43,hard_multi,-1.9652391761622194,,100.606,0.40068499999999996,32.815,0.2008,30,22.16053009033203,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""KEEP"",""SW"":""PHASE_0"",""SE"":""PHASE_1""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.149,-0.22,0.1675,-0.05,-0.0261,0.0095,-0.04,0.0171,0.0069,SWITCH,KEEP,PHASE_0,PHASE_1,,,0.4,0.3,
44,hard_multi,1.5434418467539768,,98.465,0.49396999999999996,56.912,0.2869,30,27.973413467407227,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0169,-0.0337,0.004,0.0156,0.0219,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.4,0.3,
45,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.616718292236328,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
46,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,30.40790557861328,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
47,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,32.61876106262207,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
48,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,21.54397964477539,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
49,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,26.098251342773438,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
50,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,26.634693145751953,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
51,hard_multi,0.32071370134419364,,106.263,0.458955,38.547,0.2475,30,24.869918823242188,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1461,-0.22,0.18,-0.04,-0.0037,0.031,-0.02,0.0208,0.0942,PHASE_3,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
52,hard_multi,1.5434418467539768,,98.465,0.49396999999999996,56.912,0.2869,30,24.71446990966797,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0169,-0.0337,0.004,0.0156,0.0219,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.4,0.3,
53,hard_multi,0.3244464202466827,,106.195,0.45912000000000003,38.612,0.2483,30,22.856473922729492,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1461,-0.22,0.18,-0.04,-0.0038,0.0311,-0.02,0.0208,0.0942,PHASE_3,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
